Estimand,Source,Variant,Outcome (numerator),Denominator / offset,Panel,Activity,Code position,Covariates,Years,n (obs.),APC % (95% CI),p value (Wald),Dispersion (Pearson χ²/df),Durbin–Watson,Model family,Note
REM P6 specialty: population under control for autism (December),REM P6 2021–2025,Strict REM autism (identical in both variants),"December stock, stable panel",None (count),Stable panel (reports in every year of the era),—,—,No covariates,2021–2025,5,27.4 (17.8 to 37.8),< 0.001,80.13,3.30,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Series identical in both variants. Stable panel: establishments with a row for the code in every year of the era. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 specialty: population under control for autism (December),REM P6 2021–2025,F84 without Rett,People under control (December stock),None (count),All reporting establishments,—,—,No covariates,2021–2025,5,21.9 (18.4 to 25.5),< 0.001,28.95,3.15,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 specialty: population under control for autism (December),REM P6 2021–2025,F84 without Rett,People under control (December stock),log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,14.0 (10.9 to 17.2),< 0.001,26.11,2.96,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 specialty: population under control for autism (December),REM P6 2021–2025,F84 without Rett,"December stock, stable panel",None (count),Stable panel (reports in every year of the era),—,—,No covariates,2021–2025,5,18.1 (12.6 to 23.9),< 0.001,61.56,2.90,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Stable panel: establishments with a row for the code in every year of the era. Durbin–Watson with fewer than 8 points: weak, indicative only."
PIE: students with ASD (annual school stock),MINEDUC PIE (Apuntes 60) / SINACES,Independent of Rett (identical),PIE ASD + ASD-Asperger (harmonised),None (count),National,—,—,No covariates,2019–2025,7,34.5 (30.9 to 38.3),< 0.001,245.33,1.60,Quasi-Poisson log-linear (stock growth),"2019–2023 Apuntes 60 (category sum; 2022 = 42,940 by explicit rule); 2024–2025 SINACES. December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
PIE: students with ASD (annual school stock),MINEDUC PIE (Apuntes 60) / SINACES,Independent of Rett (identical),PIE ASD + ASD-Asperger (harmonised),None (count),National,—,—,No covariates,2019–2023,5,34.7 (27.1 to 42.8),< 0.001,287.84,1.46,Quasi-Poisson log-linear (stock growth),"2019–2023 Apuntes 60 (category sum; 2022 = 42,940 by explicit rule); 2024–2025 SINACES. December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
PIE: students with ASD (annual school stock),MINEDUC PIE (Apuntes 60) / SINACES,Independent of Rett (identical),PIE ASD + ASD-Asperger (harmonised),None (count),National,—,—,No covariates,2021–2025,5,36.0 (30.5 to 41.6),< 0.001,255.09,1.71,Quasi-Poisson log-linear (stock growth),"2019–2023 Apuntes 60 (category sum; 2022 = 42,940 by explicit rule); 2024–2025 SINACES. December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
PIE: students with ASD (annual school stock),MINEDUC PIE (Apuntes 60) / SINACES,Independent of Rett (identical),PIE ASD + ASD-Asperger (harmonised),None (count),National,—,—,2020–2021 reporting-disruption indicator,2019–2025,7,32.5 (28.8 to 36.2),< 0.001,166.10,2.19,Quasi-Poisson log-linear (stock growth),"2019–2023 Apuntes 60 (category sum; 2022 = 42,940 by explicit rule); 2024–2025 SINACES. December semi-annual stock; June is never summed; descriptive log-linear growth. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
PIE: students with ASD (annual school stock),MINEDUC PIE (Apuntes 60) / SINACES,Independent of Rett (identical),PIE strict ASD,None (count),National,—,—,No covariates,2019–2023,5,46.3 (35.3 to 58.3),< 0.001,323.41,1.40,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
PIE: students with ASD (annual school stock),MINEDUC PIE (Apuntes 60) / SINACES,Independent of Rett (identical),PIE ASD-Asperger,None (count),National,—,—,No covariates,2019–2023,5,16.0 (14.2 to 17.7),< 0.001,7.08,2.74,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"DEIS: discharges with F84 principal per 100,000 discharges",DEIS hospital discharges 2019–2024,F84 without Rett,Discharges with F84 in DIAG1 (principal),log(DEIS discharges),National,All activity,Principal,No covariates,2019–2024,6,20.0 (15.1 to 25.0),< 0.001,3.20,1.89,Quasi-Poisson log-linear,"DEIS publishes DIAG1 only (DIAG2 is external cause): 'any position' = principal; compare only with GRD principal. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"DEIS: discharges with F84 principal per 100,000 discharges",DEIS hospital discharges 2019–2024,F84 without Rett,Discharges with F84 in DIAG1 (principal),log(DEIS discharges),National,All activity,Principal,No covariates,2021–2024,4,23.9 (14.6 to 33.8),< 0.001,3.73,1.98,Quasi-Poisson log-linear,"DEIS publishes DIAG1 only (DIAG2 is external cause): 'any position' = principal; compare only with GRD principal. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"DEIS: discharges with F84 principal per 100,000 discharges",DEIS hospital discharges 2019–2024,F84 without Rett,Discharges with F84 in DIAG1 (principal),log(DEIS discharges),National,All activity,Principal,2020–2021 reporting-disruption indicator,2019–2024,6,17.4 (14.8 to 20.1),< 0.001,0.76,2.93,Quasi-Poisson log-linear,"DEIS publishes DIAG1 only (DIAG2 is external cause): 'any position' = principal; compare only with GRD principal. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
